Số thứ tự,Mã học phần,Môn thi,Ngày thi,Ca thi(giờ thi),Hình thức thi,Phòng thi,Tổng sinh viên
1,181-ELT2028-01,Chuyên nghiệp trong công nghệ,20/12/2019,1(8:00),Viết,305 GĐ2,20
2,181-ELT2028-01,Chuyên nghiệp trong công nghệ,20/12/2019,1(8:00),Viết,309 G2,20
3,181-ELT2028-01,Chuyên nghiệp trong công nghệ,20/12/2019,1(8:00),Viết,310 GĐ2,20
4,181-ELT2028-01,Chuyên nghiệp trong công nghệ,20/12/2019,1(8:00),Viết,315 GĐ2,20
5,181-INT3306-02,Phát triển ứng dụng Web,26/12/2019,2(14:00),Vấn đáp,PM 202-G2,27
6,181-INT3306-02,Phát triển ứng dụng Web,26/12/2019,2(14:00),Vấn đáp,PM 207-G2,27
7,181-INT3306-02,Phát triển ứng dụng Web,26/12/2019,2(14:00),Vấn đáp,PM 201-G2,27
8,181-INT3306-02,Phát triển ứng dụng Web,26/12/2019,2(14:00),Vấn đáp,PM 302-G2,27
9,181-INT3306-02,Phát triển ứng dụng Web,26/12/2019,2(14:00),Vấn đáp,PM 307-G2,27
10,181-INT3306-02,Phát triển ứng dụng Web,26/12/2019,2(14:00),Vấn đáp,PM 312-G2,27
11,181-INT3301-20,Thực hành hệ điều hành mạng,20/12/2019,1(8:00),Trên máy,PM 202-G2,30
12,181-INT3301-20,Thực hành hệ điều hành mạng,20/12/2019,2(8:00),Trên máy,PM 202-G2,30
13, 181-MAT1101-21,Xác suất thống kê,3/1/2019,1(8:00),Viết,302 GĐ2,25
14, 181-MAT1101-21,Xác suất thống kê,3/1/2019,1(8:00),Viết,301 GĐ2,25
15, 181-MAT1101-21,Xác suất thống kê,3/1/2019,1(8:00),Viết,304 GĐ2,25
16, 181-MAT1101-21,Xác suất thống kê,3/1/2019,1(8:00),Viết,305 GĐ2,25
